MA0525.2	MA0525.2_TP63	TP63
MA0526.2	MA0526.2_USF2	USF2
MA0527.1	MA0527.1_ZBTB33	ZBTB33
MA0528.1	MA0528.1_ZNF263	ZNF263
MA0591.1	MA0591.1_Bach1::Mafk	BACH1,MAFK
MA0592.2	MA0592.2_Esrra	ESRRA
MA0593.1	MA0593.1_FOXP2	FOXP2
MA0594.1	MA0594.1_Hoxa9	HOXA9
MA0595.1	MA0595.1_SREBF1	SREBF1
MA0596.1	MA0596.1_SREBF2	SREBF2
MA0597.1	MA0597.1_THAP1	THAP1
MA0598.2	MA0598.2_EHF	EHF
MA0599.1	MA0599.1_KLF5	KLF5
MA0600.2	MA0600.2_RFX2	RFX2
MA0601.1	MA0601.1_Arid3b	ARID3B
MA0602.1	MA0602.1_Arid5a	ARID5A
MA0603.1	MA0603.1_Arntl	ARNTL
MA0604.1	MA0604.1_Atf1	ATF1
MA0605.1	MA0605.1_Atf3	ATF3
MA0606.1	MA0606.1_NFAT5	NFAT5
MA0607.1	MA0607.1_Bhlha15	BHLHA15
MA0608.1	MA0608.1_Creb3l2	CREB3L2
MA0609.1	MA0609.1_Crem	CREM
MA0610.1	MA0610.1_DMRT3	DMRT3
MA0611.1	MA0611.1_Dux	DUX4
MA0612.1	MA0612.1_EMX1	EMX1
MA0613.1	MA0613.1_FOXG1	FOXG1
MA0614.1	MA0614.1_Foxj2	FOXJ2
MA0615.1	MA0615.1_Gmeb1	GMEB1
MA0616.1	MA0616.1_Hes2	HES2
MA0617.1	MA0617.1_Id2	ID2
MA0618.1	MA0618.1_LBX1	LBX1
MA0619.1	MA0619.1_LIN54	LIN54
MA0620.2	MA0620.2_MITF	MITF
MA0621.1	MA0621.1_mix-a	MIXL1
MA0622.1	MA0622.1_Mlxip	MLXIP
MA0623.1	MA0623.1_Neurog1	NEUROG1
MA0624.1	MA0624.1_NFATC1	NFATC1
MA0625.1	MA0625.1_NFATC3	NFATC3
MA0626.1	MA0626.1_Npas2	NPAS2
MA0627.1	MA0627.1_Pou2f3	POU2F3
MA0628.1	MA0628.1_POU6F1	POU6F1
MA0629.1	MA0629.1_Rhox11	-
MA0630.1	MA0630.1_SHOX	SHOX
MA0631.1	MA0631.1_Six3	SIX3
MA0632.1	MA0632.1_Tcfl5	TCFL5
MA0633.1	MA0633.1_Twist2	TWIST2
MA0634.1	MA0634.1_ALX3	ALX3
MA0635.1	MA0635.1_BARHL2	BARHL2
MA0636.1	MA0636.1_BHLHE41	BHLHE41
MA0637.1	MA0637.1_CENPB	CENPB
MA0638.1	MA0638.1_CREB3	CREB3
MA0639.1	MA0639.1_DBP	DBP
MA0640.1	MA0640.1_ELF3	ELF3
MA0641.1	MA0641.1_ELF4	ELF4
MA0642.1	MA0642.1_EN2	EN2
MA0643.1	MA0643.1_Esrrg	ESRRG
MA0644.1	MA0644.1_ESX1	ESX1
MA0645.1	MA0645.1_ETV6	ETV6
MA0646.1	MA0646.1_GCM1	GCM1
MA0647.1	MA0647.1_GRHL1	GRHL1
MA0648.1	MA0648.1_GSC	GSC
MA0649.1	MA0649.1_HEY2	HEY2
MA0650.1	MA0650.1_HOXA13	HOXA13
MA0651.1	MA0651.1_HOXC11	HOXC11
MA0652.1	MA0652.1_IRF8	IRF8
MA0653.1	MA0653.1_IRF9	IRF9
MA0654.1	MA0654.1_ISX	ISX
MA0655.1	MA0655.1_JDP2	JDP2
MA0656.1	MA0656.1_JDP2_var.2	JDP2
MA0657.1	MA0657.1_KLF13	KLF13
MA0658.1	MA0658.1_LHX6	LHX6
MA0659.1	MA0659.1_MAFG	MAFG
MA0660.1	MA0660.1_MEF2B	MEF2B
MA0661.1	MA0661.1_MEOX1	MEOX1
MA0662.1	MA0662.1_MIXL1	MIXL1
MA0663.1	MA0663.1_MLX	MLX
MA0664.1	MA0664.1_MLXIPL	MLXIPL
MA0665.1	MA0665.1_MSC	MSC
MA0666.1	MA0666.1_MSX1	MSX1
MA0667.1	MA0667.1_MYF6	MYF6
MA0668.1	MA0668.1_NEUROD2	NEUROD2
MA0669.1	MA0669.1_NEUROG2	NEUROG2
MA0670.1	MA0670.1_NFIA	NFIA
MA0671.1	MA0671.1_NFIX	NFIX
MA0672.1	MA0672.1_NKX2-3	NKX2-3
MA0673.1	MA0673.1_NKX2-8	NKX2-8
MA0674.1	MA0674.1_NKX6-1	NKX6-1
MA0675.1	MA0675.1_NKX6-2	NKX6-2
MA0676.1	MA0676.1_Nr2e1	NR2E1
MA0677.1	MA0677.1_Nr2f6	NR2F6
MA0678.1	MA0678.1_OLIG2	OLIG2
